D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 49 / 100, Testing: Sensitivity: 0.8793200495328155, Specificity: 0.9881352074204746, Train Acc: 0.9662, Test Acc: 0.9570, AUROC: 0.9197, AUPC: -0.9062, F1 Score: 0.8903, Recall: 0.8568
Epoch 50 / 100, Testing: Sensitivity: 0.878757176629517, Specificity: 0.9887327149604507, Train Acc: 0.9665, Test Acc: 0.9565, AUROC: 0.9184, AUPC: -0.9051, F1 Score: 0.8888, Recall: 0.8542
Epoch 51 / 100, Testing: Sensitivity: 0.8810086682427108, Specificity: 0.9883343766004666, Train Acc: 0.9667, Test Acc: 0.9573, AUROC: 0.9198, AUPC: -0.9069, F1 Score: 0.8908, Recall: 0.8565
Epoch 52 / 100, Testing: Sensitivity: 0.8822469886299673, Specificity: 0.9879929437204803, Train Acc: 0.9667, Test Acc: 0.9568, AUROC: 0.9193, AUPC: -0.9057, F1 Score: 0.8897, Recall: 0.8560
Epoch 53 / 100, Testing: Sensitivity: 0.8822469886299673, Specificity: 0.9882774711204689, Train Acc: 0.9669, Test Acc: 0.9573, AUROC: 0.9206, AUPC: -0.9067, F1 Score: 0.8911, Recall: 0.8589
Epoch 54 / 100, Testing: Sensitivity: 0.8794326241134752, Specificity: 0.9886473567404541, Train Acc: 0.9666, Test Acc: 0.9577, AUROC: 0.9199, AUPC: -0.9078, F1 Score: 0.8917, Recall: 0.8562
Epoch 55 / 100, Testing: Sensitivity: 0.8804457953394124, Specificity: 0.9889887896204405, Train Acc: 0.9671, Test Acc: 0.9576, AUROC: 0.9201, AUPC: -0.9076, F1 Score: 0.8916, Recall: 0.8568
Epoch 56 / 100, Testing: Sensitivity: 0.8825847123719465, Specificity: 0.9885619985204576, Train Acc: 0.9672, Test Acc: 0.9577, AUROC: 0.9210, AUPC: -0.9076, F1 Score: 0.8920, Recall: 0.8591
Epoch 57 / 100, Testing: Sensitivity: 0.8819092648879883, Specificity: 0.9889318841404428, Train Acc: 0.9673, Test Acc: 0.9580, AUROC: 0.9212, AUPC: -0.9084, F1 Score: 0.8927, Recall: 0.8591
Epoch 58 / 100, Testing: Sensitivity: 0.8824721377912867, Specificity: 0.9889034314004439, Train Acc: 0.9674, Test Acc: 0.9576, AUROC: 0.9202, AUPC: -0.9075, F1 Score: 0.8915, Recall: 0.8573
