D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 58 / 100, Testing: Sensitivity: 0.9812454063917683, Specificity: 0.9682927227593415, Train Acc: 0.9747, Test Acc: 0.9733, AUROC: 0.9735, AUPC: -0.9778, F1 Score: 0.9731, Recall: 0.9811
Epoch 59 / 100, Testing: Sensitivity: 0.9810933421192691, Specificity: 0.9690276326103998, Train Acc: 0.9750, Test Acc: 0.9737, AUROC: 0.9739, AUPC: -0.9782, F1 Score: 0.9735, Recall: 0.9810
Epoch 60 / 100, Testing: Sensitivity: 0.9825379527080113, Specificity: 0.9682110661092239, Train Acc: 0.9753, Test Acc: 0.9737, AUROC: 0.9738, AUPC: -0.9779, F1 Score: 0.9734, Recall: 0.9823
Epoch 61 / 100, Testing: Sensitivity: 0.9810764460889914, Specificity: 0.9701463287170107, Train Acc: 0.9755, Test Acc: 0.9740, AUROC: 0.9741, AUPC: -0.9784, F1 Score: 0.9737, Recall: 0.9809
Epoch 62 / 100, Testing: Sensitivity: 0.9810257579981584, Specificity: 0.9705301149725634, Train Acc: 0.9757, Test Acc: 0.9743, AUROC: 0.9744, AUPC: -0.9788, F1 Score: 0.9740, Recall: 0.9806
Epoch 63 / 100, Testing: Sensitivity: 0.9834503383430063, Specificity: 0.9687173373399529, Train Acc: 0.9760, Test Acc: 0.9745, AUROC: 0.9746, AUPC: -0.9784, F1 Score: 0.9742, Recall: 0.9831
Epoch 64 / 100, Testing: Sensitivity: 0.9809750699073253, Specificity: 0.9715099947739744, Train Acc: 0.9762, Test Acc: 0.9750, AUROC: 0.9751, AUPC: -0.9794, F1 Score: 0.9747, Recall: 0.9808
Epoch 65 / 100, Testing: Sensitivity: 0.9833658581916179, Specificity: 0.9695584008361641, Train Acc: 0.9763, Test Acc: 0.9749, AUROC: 0.9750, AUPC: -0.9788, F1 Score: 0.9746, Recall: 0.9834
Epoch 66 / 100, Testing: Sensitivity: 0.9835686105549502, Specificity: 0.9698360334465639, Train Acc: 0.9766, Test Acc: 0.9754, AUROC: 0.9755, AUPC: -0.9792, F1 Score: 0.9751, Recall: 0.9838
Epoch 67 / 100, Testing: Sensitivity: 0.9830870736920361, Specificity: 0.9710282205382806, Train Acc: 0.9770, Test Acc: 0.9760, AUROC: 0.9761, AUPC: -0.9799, F1 Score: 0.9758, Recall: 0.9833
Epoch 68 / 100, Testing: Sensitivity: 0.9805357731201054, Specificity: 0.9737473869871962, Train Acc: 0.9771, Test Acc: 0.9759, AUROC: 0.9760, AUPC: -0.9803, F1 Score: 0.9756, Recall: 0.9808
